chembl_id,inchikey,canonical_smiles,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,tox_herg_risk,tox_cyp_risk,tox_ames_risk,tox_dili_risk,tox_bbb_permeability,tox_herg_ic50_uM,tox_herg_n_points,approved
CHEMBL25385,CHEMBL25385_KEY,Cc1ccc(NC(=O)c2ccc(N)cc2)cc1C,240.31,3.14,2.0,2.0,2.0,55.12,2.0,18.0,0,medium,low,medium,low,high,,,0
CHEMBL25392,CHEMBL25392_KEY,Cc1cc(C(c2ccccc2OC(C)C)N2CCN(C)CC2)sn1,345.51,3.58,0.0,5.0,5.0,28.6,2.0,24.0,0,high,medium,medium,medium,high,,,0
CHEMBL25395,CHEMBL25395_KEY,COc1cc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)ccc2OCC(=O)O)cc(OC)c1OC,616.74,8.98,1.0,6.0,11.0,74.22,6.0,45.0,0,high,high,high,high,medium,,,0
CHEMBL25398,CHEMBL25398_KEY,COCc1nc2ccccc2c(-c2ccccc2)c1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,532.48,7.36,0.0,3.0,6.0,42.43,4.0,38.0,0,high,high,high,high,medium,,,0
CHEMBL25410,CHEMBL25410_KEY,CCOC(=O)c1c(C)cc2cnn(-c3ccc(OC)c(OC)c3)c(=O)c2c1C,382.42,3.2,0.0,7.0,5.0,79.65,3.0,28.0,0,high,medium,medium,medium,high,,,0
CHEMBL25413,CHEMBL25413_KEY,COC(=O)c1c(C(=O)N(C)C)cc2cc(OC)c(OC)cc2c1-c1cc(OC)c(OC)c(OC)c1,483.52,4.04,0.0,8.0,8.0,92.76,3.0,35.0,0,high,high,medium,medium,medium,,,0
CHEMBL25415,CHEMBL25415_KEY,CC1(c2ccccc2)OC(S)=Nc2ccc(-c3cccc(Cl)c3)cc21,365.89,6.22,1.0,2.0,2.0,21.59,3.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL25418,CHEMBL25418_KEY,C=CCN1CC[C@H]2c3ccccc3CC[C@H]21,213.32,2.98,0.0,1.0,2.0,3.24,1.0,16.0,0,medium,low,low,low,high,,,0
CHEMBL25431,CHEMBL25431_KEY,O=P(O)(O)Oc1ccc2ccccc2c1,224.15,2.31,2.0,2.0,2.0,66.76,2.0,15.0,0,medium,low,medium,low,high,,,0
CHEMBL25432,CHEMBL25432_KEY,CC(C)C[C@@H](NC(=O)C(S)Cc1ccccc1)C(=O)O,295.4,2.14,3.0,3.0,7.0,66.4,1.0,20.0,0,medium,medium,low,low,high,,,0
CHEMBL25454,CHEMBL25454_KEY,CN1C(=S)OC(C)(C)c2cc(-c3cccc(Br)c3)ccc21,362.29,5.1,0.0,2.0,1.0,12.47,2.0,21.0,0,high,medium,medium,medium,high,,,0
CHEMBL25463,CHEMBL25463_KEY,C=CCC1(C)OC(S)=Nc2ccc(-c3cccc(Cl)c3)cc21,329.85,5.75,1.0,2.0,3.0,21.59,2.0,22.0,0,high,medium,medium,medium,high,,,0
CHEMBL25467,CHEMBL25467_KEY,C=Cc1sc2ccc(Cl)c3c2c1CN(C)CC3,263.79,4.19,0.0,2.0,1.0,3.24,2.0,17.0,0,medium,medium,medium,low,high,,,0
CHEMBL254822,CHEMBL254822_KEY,C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCC(=O)NC(C)CC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,683.03,8.44,4.0,4.0,13.0,115.73,0.0,49.0,0,high,high,low,high,medium,,,0
CHEMBL254832,CHEMBL254832_KEY,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,315.46,5.56,1.0,1.0,7.0,12.03,3.0,24.0,0,high,medium,medium,medium,high,,,0
CHEMBL25489,CHEMBL25489_KEY,Cn1c(=O)c2c(c3cc([N+](=O)[O-])ccc31)OC(C)(C)CC2,288.3,2.55,0.0,5.0,1.0,74.37,2.0,21.0,0,medium,medium,medium,low,high,,,0
CHEMBL25493,CHEMBL25493_KEY,CN1CCC[C@@]12CCCC[C@@H]2NC(=O)Cc1ccc(Cl)c(Cl)c1,355.31,4.06,1.0,2.0,3.0,32.34,1.0,23.0,0,high,medium,low,medium,high,,,0
CHEMBL25497,CHEMBL25497_KEY,C/C=C/CN(C)Cc1cccc2ccccc12,225.34,3.85,0.0,1.0,4.0,3.24,2.0,17.0,0,medium,low,medium,low,high,,,0
CHEMBL25498,CHEMBL25498_KEY,CN[C@@H]1C(O)[C@H](O[C@@H]2C(O)C(O[C@H]3OC(CN)CCC3N)[C@@H](N)C[C@H]2N)OC[C@@H]1O.O=S(=O)(O)O,533.6,-4.37,8.0,12.0,6.0,213.72,0.0,30.0,0,low,low,low,low,low,,,0
CHEMBL25504,CHEMBL25504_KEY,CNC(=O)Cc1cccc2c1Cc1c-2nc(O)c2nc(C(=O)O)cn12,338.32,0.99,3.0,6.0,3.0,116.82,3.0,25.0,0,low,low,medium,low,medium,,,0
CHEMBL25505,CHEMBL25505_KEY,COc1ccc2c(c1)c(Cc1nc(-c3ccc(S(C)(=O)=O)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,551.09,6.42,0.0,7.0,6.0,78.26,5.0,37.0,0,high,high,high,high,medium,,,0
CHEMBL255066,CHEMBL255066_KEY,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1Cl,395.88,3.58,0.0,6.0,9.0,68.98,2.0,27.0,0,high,medium,medium,medium,high,,,0
CHEMBL25508,CHEMBL25508_KEY,Oc1cc2c(cc1CCCOc1ccc(C3N=NN=N3)cc1)OC(CCc1ccccc1)C2,442.52,6.17,1.0,7.0,9.0,88.13,3.0,33.0,0,high,high,medium,medium,high,,,0
CHEMBL25512,CHEMBL25512_KEY,COc1ccc([C@@H]2Sc3ccccc3N3C(=O)CC[C@@H]23)cc1,311.41,4.04,0.0,3.0,2.0,29.54,2.0,22.0,0,high,medium,medium,medium,high,,,0
CHEMBL25515,CHEMBL25515_KEY,Oc1cc2c(cc1CCCSc1nc3ccccc3s1)OC(CCc1ccccc1)C2,447.63,6.66,1.0,5.0,8.0,42.35,4.0,31.0,0,high,high,high,medium,high,,,0
CHEMBL25516,CHEMBL25516_KEY,CC(C)(C)c1cc(NC(=O)[C@H]2CCC3C4CNC5=CC(=O)CC[C@]5(C)C4CC[C@@]32C)cc(C(C)(C)C)c1,504.76,7.14,2.0,3.0,2.0,58.2,1.0,37.0,0,high,high,low,high,medium,,,0
CHEMBL25521,CHEMBL25521_KEY,CN(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)c1c(CN)nc2ccccc2c1-c1ccccc1,517.47,6.67,1.0,3.0,5.0,59.22,4.0,37.0,0,high,high,high,high,medium,,,0
CHEMBL25530,CHEMBL25530_KEY,C=CCc1cc2c(cc1O)C(C)(C)C(CCc1ccc(OC)cc1)O2,338.45,4.8,1.0,3.0,6.0,38.69,2.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL25534,CHEMBL25534_KEY,CC(Cc1c[nH]c2c(O)cccc12)NC[C@H](O)c1cccc(Cl)c1,344.84,3.78,4.0,3.0,6.0,68.28,3.0,24.0,0,high,medium,medium,medium,high,,,0
CHEMBL25541,CHEMBL25541_KEY,Nc1cccnc1,94.12,0.66,1.0,2.0,0.0,38.91,1.0,7.0,0,low,low,low,low,high,,,0
CHEMBL25544,CHEMBL25544_KEY,Cn1c(S)nnc1-c1ccccc1,191.26,1.77,1.0,4.0,1.0,30.71,2.0,13.0,0,low,low,medium,low,high,,,0
CHEMBL25570,CHEMBL25570_KEY,C/C(=N\O)c1ccc(Sc2cc(F)cc(C3CCOCC3)c2)cc1,345.44,5.07,1.0,4.0,4.0,41.82,2.0,24.0,0,high,medium,medium,medium,high,,,0
CHEMBL25581,CHEMBL25581_KEY,Cn1c(-c2cccc3ccccc23)nnc1S(C)(=O)=O,287.34,2.04,0.0,5.0,2.0,64.85,3.0,20.0,0,medium,medium,medium,low,high,,,0
CHEMBL25584,CHEMBL25584_KEY,O=C(O)CCCOc1ccc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,557.51,8.83,1.0,3.0,9.0,46.53,5.0,36.0,0,high,high,high,high,medium,,,0
CHEMBL25585,CHEMBL25585_KEY,CCCCc1nc2ccc(NC(=O)NC(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,536.64,5.16,3.0,7.0,9.0,130.48,5.0,40.0,0,high,high,high,high,medium,,,0
CHEMBL25604,CHEMBL25604_KEY,COc1cccc(CC(=O)N2CCN(C(C)=O)CC2CN2CC[C@H](O)C2)c1,375.47,0.36,1.0,5.0,5.0,73.32,1.0,27.0,0,low,low,low,low,high,,,0
CHEMBL25610,CHEMBL25610_KEY,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCOCC1,432.88,3.89,1.0,7.0,7.0,68.74,3.0,30.0,0,high,medium,medium,medium,high,,,0
CHEMBL25612,CHEMBL25612_KEY,CCOc1ccc(-n2c(C)c3c(C)nnc(C4CC4)c3c2C)cc1,321.42,4.62,0.0,4.0,4.0,39.94,3.0,24.0,0,high,medium,medium,medium,high,,,0
CHEMBL25620,CHEMBL25620_KEY,Cn1cncc1C(O)(C#Cc1ccc(C#N)cc1-c1ccc2c(c1)OCO2)c1ccc(C#N)cc1,458.48,3.85,1.0,7.0,3.0,104.09,4.0,35.0,0,high,medium,high,medium,medium,,,0
CHEMBL25621,CHEMBL25621_KEY,Cc1ccccc1-c1cc(C(O)(c2ccc(C#N)cc2)c2cncn2C)ccc1C#N,404.47,4.42,1.0,5.0,4.0,85.63,4.0,31.0,0,high,high,high,medium,high,,,0
CHEMBL25636,CHEMBL25636_KEY,O=C(O)c1cccn1Nc1ccc(O)cc1,218.21,1.77,3.0,4.0,3.0,74.49,2.0,16.0,0,low,low,medium,low,high,,,0
CHEMBL25637,CHEMBL25637_KEY,CCCc1c(C(C)C)nc(C(C)C)c([C@@H](C)O)c1-c1ccc(F)cc1,343.49,6.14,1.0,2.0,6.0,33.12,2.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL25639,CHEMBL25639_KEY,CN(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)c1c(CO)nc2ccccc2c1-c1ccccc1,518.46,6.7,1.0,3.0,5.0,53.43,4.0,37.0,0,high,high,high,high,medium,,,0
CHEMBL25640,CHEMBL25640_KEY,C[C@H](NC(=O)OCc1cc(=O)c(O)co1)C(=O)OCc1cc(=O)c(O)co1,381.29,0.36,3.0,10.0,6.0,165.51,2.0,27.0,0,low,low,medium,low,low,,,0
CHEMBL25649,CHEMBL25649_KEY,COc1noc2c1C[N+](C)(C)CC2.[I-],310.14,0.82,0.0,3.0,1.0,35.26,1.0,13.0,0,low,low,low,low,high,,,0
CHEMBL25654,CHEMBL25654_KEY,COc1ccccc1N1CCN(CCNC(=O)C2CC3CCCC3C2)CC1,371.53,2.76,1.0,4.0,6.0,44.81,1.0,27.0,0,medium,medium,low,low,high,,,0
CHEMBL25655,CHEMBL25655_KEY,CC(C)CCN(CCC(C)C)S(=O)(=O)NC(=O)Nc1c(C(C)C)cccc1C(C)C,439.67,5.69,2.0,3.0,11.0,78.51,1.0,30.0,0,high,high,low,medium,high,,,0
CHEMBL25656,CHEMBL25656_KEY,COC(=O)C(=O)/C=C(\O)c1ccc(F)c(Cl)c1,258.63,2.12,1.0,4.0,3.0,63.6,1.0,17.0,0,medium,medium,low,low,high,,,0
CHEMBL25667,CHEMBL25667_KEY,CCCCCc1c(C(C)C)nc(C(C)C)c(CO)c1-c1ccc(O)cc1,355.52,5.93,2.0,3.0,8.0,53.35,2.0,26.0,0,high,medium,medium,medium,high,,,0
CHEMBL25682,CHEMBL25682_KEY,Cc1cc(C#N)cc(-c2ccc3c(c2)C(C)(C)OC(S)=N3)c1,308.41,4.72,1.0,3.0,1.0,45.38,2.0,22.0,0,high,medium,medium,medium,high,,,0
CHEMBL25683,CHEMBL25683_KEY,Cc1cc2nc(N3CCCC3)c3ccccc3c2nn1,264.33,3.09,0.0,4.0,1.0,41.91,3.0,20.0,0,medium,medium,medium,low,high,,,0
CHEMBL25687,CHEMBL25687_KEY,O=C(O)c1cn2c3c(nc(O)c2n1)-c1cccc(CP(=O)(O)O)c1C3,361.25,1.38,4.0,6.0,3.0,145.25,3.0,25.0,0,low,low,medium,low,low,,,0
CHEMBL25690,CHEMBL25690_KEY,CCCN1CC[C@H]2c3ccccc3CC[C@H]21,215.34,3.2,0.0,1.0,2.0,3.24,1.0,16.0,0,medium,low,low,low,high,,,0
CHEMBL25691,CHEMBL25691_KEY,COc1cccc2c1CC[C@@H]1[C@H]2CCN1CC1CC1,257.38,3.21,0.0,2.0,3.0,12.47,1.0,19.0,0,medium,medium,low,low,high,,,0
CHEMBL25692,CHEMBL25692_KEY,COC1(c2cc(F)cc(Sc3ccc4c(c3)OCC/C4=N\OCC#N)c2)CCOCC1,442.51,4.66,0.0,7.0,6.0,73.07,2.0,31.0,0,high,high,medium,medium,high,,,0
CHEMBL25706,CHEMBL25706_KEY,N#C/C(=C\c1ccccc1OCCCN1CCCCC1)c1noc2ccccc12,387.48,5.15,0.0,5.0,7.0,62.29,3.0,29.0,0,high,medium,medium,medium,high,,,0
CHEMBL25739,CHEMBL25739_KEY,CCCCCCCOC(=O)O[C@@H]1[C@@H](CO)OC(=O)[C@@H]1OC(=O)OCCCCCCC,432.51,3.89,1.0,9.0,15.0,117.59,0.0,30.0,0,high,medium,low,medium,medium,,,0
CHEMBL25745,CHEMBL25745_KEY,Cc1ccc2cccc(OCc3c(C)ccc(N(C)C(=O)Cc4ccc(C(=O)c5ccc(C#N)cc5)n4C)c3C)c2n1,556.67,6.39,0.0,6.0,8.0,88.22,5.0,42.0,0,high,high,high,high,medium,,,0
CHEMBL25752,CHEMBL25752_KEY,COc1ccc(CNC(=O)[C@@H](NC(=O)[C@H](NCc2ccc(Oc3ccccc3)cc2)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)(C)C)C(C)C)c(O)c1,888.08,6.54,7.0,10.0,21.0,196.58,5.0,65.0,0,high,high,high,high,low,,,0
CHEMBL25759,CHEMBL25759_KEY,CCCCOP(=O)(CCCCC1(C(=O)NCc2ccc(N)cc2)c2ccccc2-c2ccccc21)OCCCC,562.69,7.85,2.0,5.0,16.0,90.65,3.0,40.0,0,high,high,medium,high,medium,,,0
CHEMBL25765,CHEMBL25765_KEY,COC(=O)c1c(CN2CCN(CCO)CC2)cc2cc(OC)c(OC)cc2c1-c1cc(OC)c(OC)c(OC)c1,554.64,3.45,1.0,10.0,11.0,99.16,3.0,40.0,0,high,medium,medium,medium,medium,,,0
CHEMBL25772,CHEMBL25772_KEY,Cc1c(-c2ccccc2)cnn1C1CCN(Cc2ccccc2)CC1,331.46,4.7,0.0,3.0,4.0,21.06,3.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL25773,CHEMBL25773_KEY,N#Cc1cccc(CN(C(=O)c2ccc(Cl)cc2Cl)[C@@H](Cc2ccccc2)C(=O)O)c1,453.33,5.2,1.0,3.0,7.0,81.4,3.0,31.0,0,high,high,medium,medium,medium,,,0
CHEMBL25774,CHEMBL25774_KEY,CC(C)N(CCC1(c2ccccc2)C(=O)N=C(c2ccccc2)N2CCCCC21)C(C)C,431.62,5.27,0.0,3.0,7.0,35.91,2.0,32.0,0,high,high,medium,medium,high,,,0
CHEMBL25777,CHEMBL25777_KEY,CC1(C)C(=O)Nc2cc3[nH]c(-c4ccnc(O)c4)nc3cc21,294.31,2.56,3.0,4.0,1.0,90.9,3.0,22.0,0,medium,medium,medium,low,medium,,,0
CHEMBL25788,CHEMBL25788_KEY,CC(C)(C)NC(=O)C(C1CC1)N1C(=O)[C@H](CS)NC(=O)[C@@H]1Cc1ccc([N+](=O)[O-])cc1,448.55,1.46,3.0,6.0,7.0,121.65,1.0,31.0,0,low,low,low,low,medium,,,0
CHEMBL25791,CHEMBL25791_KEY,COc1ccc(C(=O)c2c(C)n3c4c(cccc24)CC(N2CCOCC2)C3)cc1,390.48,3.45,0.0,5.0,4.0,43.7,3.0,29.0,0,high,medium,medium,medium,high,,,0
CHEMBL25794,CHEMBL25794_KEY,COc1c2c(c(O)c3c1C(=O)c1c(cc(O)c(C)c1O)C3=O)-c1c(cc(/C=N/NC(=O)NC3CCCCC3)c(C(=O)O)c1O)CC2,629.62,4.03,7.0,10.0,5.0,215.08,3.0,46.0,0,high,high,medium,medium,low,,,0
CHEMBL25802,CHEMBL25802_KEY,Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,322.33,4.66,2.0,3.0,0.0,45.15,2.0,23.0,0,high,medium,medium,medium,high,,,0
CHEMBL25815,CHEMBL25815_KEY,O=C1Nc2cccc3c2[C@]1(CCCCN1CC=C(c2ccccc2)CC1)CCC3,386.54,5.17,1.0,2.0,6.0,32.34,2.0,29.0,0,high,medium,medium,medium,high,,,0
CHEMBL25816,CHEMBL25816_KEY,Cc1onc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)c1C,345.42,3.31,1.0,5.0,4.0,75.44,3.0,24.0,0,high,medium,medium,medium,high,,,0
CHEMBL25817,CHEMBL25817_KEY,CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1O,272.35,2.06,3.0,5.0,4.0,98.05,2.0,20.0,0,medium,medium,medium,low,medium,,,0
CHEMBL25818,CHEMBL25818_KEY,CC(C)N(CCC1(c2ccccc2)C(=O)N=CN2CCCCC21)C(C)C,355.53,3.86,0.0,3.0,6.0,35.91,1.0,26.0,0,high,medium,low,medium,high,,,0
CHEMBL25829,CHEMBL25829_KEY,CCn1sc(=O)n(CC)c1=O,174.22,0.11,0.0,5.0,2.0,44.0,1.0,11.0,0,low,low,low,low,high,,,0
CHEMBL25841,CHEMBL25841_KEY,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(C(=O)NCCCC(F)(F)F)cc12,601.65,5.28,2.0,6.0,10.0,106.5,4.0,42.0,0,high,high,high,high,medium,,,0
CHEMBL25850,CHEMBL25850_KEY,CC(OS(N)(=O)=O)[C@@]12OC[C@H]3OC(C)(C)O[C@H]3[C@@H]1OC(C)(C)O2,353.39,-0.01,1.0,8.0,3.0,115.54,0.0,23.0,0,low,low,low,low,medium,,,0
CHEMBL25851,CHEMBL25851_KEY,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@@H](N)[C@H](F)C3)nc21.CS(=O)(=O)O,462.48,1.47,2.0,6.0,2.0,101.45,2.0,26.0,0,low,low,medium,low,medium,,,0
CHEMBL25856,CHEMBL25856_KEY,Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,267.33,2.65,3.0,3.0,0.0,52.49,2.0,20.0,0,medium,medium,medium,low,high,,,0
CHEMBL25864,CHEMBL25864_KEY,O=C(O)C[C@H](NC(=O)Cn1c(Cc2ccccc2)ccc(NC(=O)c2cccc3ccccc23)c1=O)C(=O)COc1ccccc1,617.66,4.45,3.0,7.0,13.0,143.8,5.0,46.0,0,high,high,high,medium,low,,,0
CHEMBL25868,CHEMBL25868_KEY,Cc1ncc(COP(=O)(O)O)c(/C=N/OCC(F)CN)c1O,337.24,0.35,4.0,7.0,8.0,147.49,1.0,22.0,0,low,low,low,low,low,,,0
CHEMBL25869,CHEMBL25869_KEY,NS(=O)(=O)OC[C@@]12CCC=C[C@@H]1CCC2,231.32,1.34,1.0,3.0,3.0,69.39,0.0,15.0,0,low,low,low,low,high,,,0
CHEMBL25881,CHEMBL25881_KEY,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc(-c2ccc(OC(Cc3ccccc3)C(=O)O)cc2)cc1,543.54,8.08,1.0,4.0,8.0,72.56,5.0,40.0,0,high,high,high,high,medium,,,0
CHEMBL25882,CHEMBL25882_KEY,CC[C@H](c1ccc(O)cc1)[C@@H](CI)c1ccc(O)cc1,382.24,4.81,2.0,2.0,5.0,40.46,2.0,20.0,0,high,medium,medium,medium,high,,,0
CHEMBL25885,CHEMBL25885_KEY,COc1cc(C(=O)NS(=O)(=O)c2ccccc2Cl)ccc1Cc1cn(C)c2ccc(C(=O)NCC(C)CC(F)(F)F)cc12,636.09,5.87,2.0,6.0,10.0,106.5,4.0,43.0,0,high,high,high,high,medium,,,0
CHEMBL25887,CHEMBL25887_KEY,Cc1nnn(C2CCN(Cc3ccccc3)CC2)c1-c1ccccc1,332.45,4.09,0.0,4.0,4.0,33.95,3.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL25892,CHEMBL25892_KEY,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ncc(N)c1=O)C(=O)c1nnc(C(C)(C)C)o1,452.52,2.2,2.0,9.0,7.0,146.0,3.0,33.0,0,medium,medium,medium,low,low,,,0
CHEMBL25903,CHEMBL25903_KEY,Cn1c2nccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,451.48,2.26,1.0,7.0,5.0,93.17,4.0,33.0,0,medium,medium,high,low,medium,,,0
CHEMBL25906,CHEMBL25906_KEY,CCCn1c(=O)c2c(nc(/C=C/c3cccc(N)c3)n2C)n(CCC)c1=O,367.45,2.47,1.0,7.0,6.0,87.84,3.0,27.0,0,medium,medium,medium,low,high,,,0
CHEMBL25912,CHEMBL25912_KEY,COc1cc(/C=C/c2nc3c(c(=O)n(C)c(=O)n3C)n2CCO)cc(OC)c1OC,416.43,0.62,1.0,10.0,7.0,109.74,3.0,30.0,0,low,low,medium,low,medium,,,0
CHEMBL25914,CHEMBL25914_KEY,CCn1c(/C=C/c2cc(OC)c(OC)c(OC)c2)nc2c1c(=O)n(C)c(=O)n2C,400.44,1.65,0.0,9.0,6.0,89.51,3.0,29.0,0,low,low,medium,low,high,,,0
CHEMBL25931,CHEMBL25931_KEY,CC1(C)C(=O)Nc2cc3[nH]c(-c4ccncc4)nc3cc21,278.31,2.85,2.0,3.0,1.0,70.67,3.0,21.0,0,medium,medium,medium,low,high,,,0
CHEMBL25935,CHEMBL25935_KEY,COC(=O)c1c(C(=O)N2CCOCC2)cc2cc(OC)c(OC)cc2c1-c1cc(OC)c(OC)c(OC)c1,525.55,3.81,0.0,9.0,8.0,101.99,3.0,38.0,0,high,medium,medium,medium,medium,,,0
CHEMBL25941,CHEMBL25941_KEY,COc1cc(NS(C)(=O)=O)ccc1Nc1c2c(nc3ccccc13)CCCC2,397.5,4.24,2.0,5.0,5.0,80.32,3.0,28.0,0,high,medium,medium,medium,high,,,0
CHEMBL25958,CHEMBL25958_KEY,CC1(C)O[C@H]2[C@@H]3OS(=O)O[C@@H]3CO[C@@]2(COS(N)(=O)=O)O1,345.35,-1.55,1.0,9.0,3.0,132.61,0.0,21.0,0,low,low,low,low,medium,,,0
CHEMBL25978,CHEMBL25978_KEY,N[C@@H](CS)CNc1cccc(Oc2ccc(C(=O)O)cc2)c1,318.4,2.85,4.0,5.0,7.0,84.58,2.0,22.0,0,medium,medium,medium,low,high,,,0
CHEMBL25979,CHEMBL25979_KEY,CCOC(=O)[C@H]1[C@H]2C[C@H]3c4cc5c(cc4CCN3C[C@H]2CC[C@H]1O)OCO5,373.45,2.28,1.0,6.0,2.0,68.23,1.0,27.0,0,medium,medium,low,low,high,,,0
CHEMBL25983,CHEMBL25983_KEY,CCCCCc1ccc(Oc2ccc(C)cc2CC(=O)O)c(Cl)c1,346.85,5.8,1.0,2.0,8.0,46.53,2.0,24.0,0,high,medium,medium,medium,high,,,0
CHEMBL25984,CHEMBL25984_KEY,CCCN(CCC)C1COc2ccccc2C1,233.35,3.11,0.0,2.0,5.0,12.47,1.0,17.0,0,medium,low,low,low,high,,,0
CHEMBL25998,CHEMBL25998_KEY,CC(C)C(=O)NCCCNCC(O)COc1ccccc1,294.39,1.18,3.0,4.0,10.0,70.59,1.0,21.0,0,low,low,low,low,high,,,0
CHEMBL26,CHEMBL26_KEY,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,341.43,0.56,2.0,5.0,6.0,101.73,1.0,23.0,0,low,low,low,low,medium,,,1
CHEMBL26001,CHEMBL26001_KEY,O=P(O)(O)C(O)c1ccc2ccccc2c1,238.18,2.01,3.0,2.0,2.0,77.76,2.0,16.0,0,medium,low,medium,low,high,,,0
CHEMBL26010,CHEMBL26010_KEY,NCCc1c[nH]c(-c2cccc(F)c2)n1,205.24,1.72,2.0,2.0,3.0,54.7,2.0,15.0,0,low,low,medium,low,high,,,0
CHEMBL26013,CHEMBL26013_KEY,O[C@H](CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1)c1ccccc1,416.56,4.14,1.0,4.0,9.0,35.94,3.0,31.0,0,high,high,medium,medium,high,,,0
CHEMBL26017,CHEMBL26017_KEY,COc1cccc(CCN2CCN(c3ncnc4c(C#N)c5n(c34)CCCC5)CC2)c1,416.53,3.01,0.0,7.0,5.0,70.21,3.0,31.0,0,high,medium,medium,medium,high,,,0
CHEMBL26025,CHEMBL26025_KEY,Cc1cccc(NC(=O)Nc2ccc3nnccc3c2)c1,278.32,3.58,2.0,3.0,2.0,66.91,3.0,21.0,0,medium,medium,medium,low,high,,,0
CHEMBL26026,CHEMBL26026_KEY,C=CCN(C)Cc1ccccc1,161.25,2.3,0.0,1.0,4.0,3.24,1.0,12.0,0,low,low,low,low,high,,,0
CHEMBL26035,CHEMBL26035_KEY,Cc1ccc(Oc2ccc(C)cc2CC(=O)O)c(Cl)c1,290.75,4.38,1.0,2.0,4.0,46.53,2.0,20.0,0,medium,medium,medium,low,high,,,0
CHEMBL26038,CHEMBL26038_KEY,O=C(NO)C(NCc1cccc(C(F)(F)F)c1)c1ccc(F)c(F)c1,360.28,3.32,3.0,3.0,5.0,61.36,2.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL26041,CHEMBL26041_KEY,COc1c2c(c(O)c3c1C(=O)c1c(cc(O)c(C)c1O)C3=O)-c1c(cc(/C=N/N=C(\S)N3CCCCC3)c(C(=O)O)c1O)CC2,631.66,4.17,6.0,10.0,4.0,189.55,3.0,45.0,0,high,high,medium,medium,low,,,0
CHEMBL26051,CHEMBL26051_KEY,CCCCCN(CC(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)c1ccc2cc(OC)c(OC)cc2c1,551.67,1.66,4.0,7.0,16.0,186.64,2.0,38.0,0,low,low,medium,low,low,,,0
CHEMBL26052,CHEMBL26052_KEY,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)cc1,472.77,5.44,1.0,2.0,7.0,57.61,3.0,29.0,0,high,high,medium,medium,medium,,,0
CHEMBL26054,CHEMBL26054_KEY,COC(=O)c1c(C(=O)N2CCN(CCO)CC2)cc2cc(OC)c(OC)cc2c1-c1cc(N)c(OC)c(OC)c1,553.61,2.66,2.0,10.0,9.0,133.02,3.0,40.0,0,medium,medium,medium,low,medium,,,0
CHEMBL26057,CHEMBL26057_KEY,Oc1ccc2c(c1)OC(c1ccc(OCCN3CCCCC3)cc1)c1c-2oc2cc(O)ccc12,457.53,5.86,2.0,6.0,5.0,75.3,4.0,34.0,0,high,high,high,medium,medium,,,0
