compound_id,primary_drug,all_drug_names,smiles,smiles_source,mapping_status,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,mol_num_rings,mol_num_heteroatoms,mol_fraction_csp3,max_clinical_phase,clinical_status,primary_condition,nct_id,trial_title,enrollment_count,start_date,completion_date,data_source,compound_type,study_type,primary_phase,overall_status,lead_sponsor,sponsor_class,collected_date,efficacy_score,safety_score,success_probability
CHEMBL_CHEMBL205596,CHOLIC ACID,['CHOLIC ACID'],C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,CHEMBL205596,success,408.58,3.45,4.0,4.0,4.0,97.99,0.0,29.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059890,,,1.0
CHEMBL_CHEMBL1409,FLUVOXAMINE MALEATE,['FLUVOXAMINE MALEATE'],COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O,CHEMBL1409,success,434.41,3.20,1.0,4.0,9.0,56.84,1.0,22.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059893,,,1.0
CHEMBL_CHEMBL1410,NONOXYNOL 9,['NONOXYNOL 9'],CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CHEMBL1410,success,616.83,4.48,1.0,10.0,35.0,103.30,1.0,43.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059896,,,1.0
CHEMBL_CHEMBL427216,GLICLAZIDE,['GLICLAZIDE'],Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,CHEMBL427216,success,323.42,1.63,2.0,4.0,3.0,78.51,1.0,22.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059899,,,1.0
CHEMBL_CHEMBL383675,TEMOPORFIN,['TEMOPORFIN'],Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc2CC4)C=C3)c1,CHEMBL383675,success,680.76,9.76,6.0,6.0,4.0,138.28,7.0,52.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059902,,,1.0
CHEMBL_CHEMBL207538,BREXANOLONE,['BREXANOLONE'],CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL207538,success,318.50,4.60,1.0,2.0,1.0,37.30,0.0,23.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059904,,,1.0
CHEMBL_CHEMBL379845,METHYL NICOTINATE,['METHYL NICOTINATE'],COC(=O)c1cccnc1,CHEMBL379845,success,137.14,0.87,0.0,3.0,1.0,39.19,1.0,10.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059907,,,1.0
CHEMBL_CHEMBL211456,EPHEDRINE,['EPHEDRINE'],CN[C@@H](C)[C@H](O)c1ccccc1,CHEMBL211456,success,165.24,1.33,2.0,2.0,3.0,32.26,1.0,12.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059910,,,1.0
CHEMBL_CHEMBL1412,PIPERAZINE,['PIPERAZINE'],C1CNCCN1,CHEMBL1412,success,86.14,-0.82,2.0,2.0,0.0,24.06,0.0,6.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059913,,,1.0
CHEMBL_CHEMBL1413,CICLOPIROX,['CICLOPIROX'],Cc1cc(C2CCCCC2)n(O)c(=O)c1,CHEMBL1413,success,207.27,2.44,1.0,3.0,1.0,42.23,1.0,15.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059916,,,1.0
CHEMBL_CHEMBL443052,TAVABOROLE,['TAVABOROLE'],OB1OCc2cc(F)ccc21,CHEMBL443052,success,151.93,,,,,,,,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059918,,,1.0
CHEMBL_CHEMBL211471,NEOSTIGMINE METHYLSULFATE,['NEOSTIGMINE METHYLSULFATE'],CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.COS(=O)(=O)[O-],CHEMBL211471,success,334.39,1.94,0.0,2.0,2.0,29.54,1.0,16.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059921,,,1.0
CHEMBL_CHEMBL215645,RIVASTIGMINE TARTRATE,['RIVASTIGMINE TARTRATE'],CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1.O=C(O)C(O)C(O)C(=O)O,CHEMBL215645,success,400.43,2.76,0.0,3.0,4.0,32.78,1.0,18.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059924,,,1.0
CHEMBL_CHEMBL378544,VINBLASTINE SULFATE,['VINBLASTINE SULFATE'],CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,CHEMBL378544,success,909.07,3.99,3.0,12.0,7.0,154.10,3.0,59.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059927,,,1.0
CHEMBL_CHEMBL1419,SIBUTRAMINE,['SIBUTRAMINE'],CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,CHEMBL1419,success,279.86,4.74,0.0,1.0,5.0,3.24,1.0,19.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059931,,,1.0
CHEMBL_CHEMBL1420,PRALIDOXIME,['PRALIDOXIME'],C[n+]1ccccc1C=NO,CHEMBL1420,success,137.16,0.32,1.0,2.0,1.0,36.47,1.0,10.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059934,,,1.0
CHEMBL_CHEMBL218394,BOCEPREVIR,['BOCEPREVIR'],CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,CHEMBL218394,success,519.69,1.71,4.0,5.0,8.0,150.70,0.0,37.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059936,,,1.0
CHEMBL_CHEMBL385517,SAXAGLIPTIN ANHYDROUS,['SAXAGLIPTIN ANHYDROUS'],N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,CHEMBL385517,success,315.42,1.16,2.0,4.0,2.0,90.35,0.0,23.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059940,,,1.0
CHEMBL_CHEMBL1421,DASATINIB,['DASATINIB'],Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CHEMBL1421,success,488.02,3.31,3.0,9.0,7.0,106.51,3.0,33.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059943,,,1.0
CHEMBL_CHEMBL1422,SITAGLIPTIN,['SITAGLIPTIN'],N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,CHEMBL1422,success,407.32,2.02,1.0,5.0,4.0,77.04,2.0,28.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059946,,,1.0
CHEMBL_CHEMBL1423,PIMOZIDE,['PIMOZIDE'],O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,CHEMBL1423,success,461.56,5.86,1.0,3.0,7.0,41.03,4.0,34.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059948,,,1.0
CHEMBL_CHEMBL386630,TESTOSTERONE,['TESTOSTERONE'],C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL386630,success,288.43,3.88,1.0,2.0,0.0,37.30,0.0,21.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059952,,,1.0
CHEMBL_CHEMBL1425,MERCAPTOPURINE ANHYDROUS,['MERCAPTOPURINE ANHYDROUS'],Sc1ncnc2nc[nH]c12,CHEMBL1425,success,152.18,0.64,2.0,4.0,0.0,54.46,2.0,10.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059955,,,1.0
CHEMBL_CHEMBL219916,DOMPERIDONE,['DOMPERIDONE'],O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,CHEMBL219916,success,425.92,3.35,2.0,5.0,5.0,78.82,4.0,30.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059958,,,1.0
CHEMBL_CHEMBL181,DIAZOXIDE,['DIAZOXIDE'],CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,CHEMBL181,success,230.68,1.68,1.0,3.0,0.0,58.53,1.0,14.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059961,,,1.0
CHEMBL_CHEMBL374478,RIFAMPIN,['RIFAMPIN'],CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL374478,success,822.95,4.34,6.0,15.0,4.0,220.15,2.0,59.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059964,,,1.0
CHEMBL_CHEMBL218650,DELAMANID,['DELAMANID'],C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,CHEMBL218650,success,534.49,4.97,0.0,9.0,8.0,101.12,3.0,38.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059967,,,1.0
CHEMBL_CHEMBL1428,NIMODIPINE,['NIMODIPINE'],COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,CHEMBL1428,success,418.45,2.97,1.0,8.0,8.0,117.00,1.0,30.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059970,,,1.0
CHEMBL_CHEMBL384467,DEXAMETHASONE,['DEXAMETHASONE'],C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,CHEMBL384467,success,392.47,1.90,3.0,5.0,2.0,94.83,0.0,28.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059974,,,1.0
CHEMBL_CHEMBL182,GANCICLOVIR,['GANCICLOVIR'],Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,CHEMBL182,success,255.23,-1.97,4.0,8.0,5.0,139.28,2.0,18.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059977,,,1.0
CHEMBL_CHEMBL184,ACYCLOVIR,['ACYCLOVIR'],Nc1nc2c(ncn2COCCO)c(=O)[nH]1,CHEMBL184,success,225.21,-1.33,3.0,7.0,4.0,119.05,2.0,16.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059979,,,1.0
CHEMBL_CHEMBL374731,TELBIVUDINE,['TELBIVUDINE'],Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,CHEMBL374731,success,242.23,-1.51,3.0,6.0,2.0,104.55,1.0,17.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059982,,,1.0
CHEMBL_CHEMBL218490,DORZOLAMIDE,['DORZOLAMIDE'],CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CHEMBL218490,success,324.45,0.61,2.0,6.0,3.0,106.33,1.0,19.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059985,,,1.0
CHEMBL_CHEMBL220491,BRINZOLAMIDE,['BRINZOLAMIDE'],CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CHEMBL220491,success,383.52,0.09,2.0,7.0,7.0,118.80,1.0,23.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059989,,,1.0
CHEMBL_CHEMBL220492,TOPIRAMATE,['TOPIRAMATE'],CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,CHEMBL220492,success,339.37,-0.40,1.0,8.0,3.0,115.54,0.0,22.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059992,,,1.0
CHEMBL_CHEMBL426559,LAROPIPRANT,['LAROPIPRANT'],CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3,CHEMBL426559,success,435.90,4.39,1.0,4.0,5.0,76.37,3.0,29.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059995,,,1.0
CHEMBL_CHEMBL221959,TOFACITINIB,['TOFACITINIB'],C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CHEMBL221959,success,312.38,1.54,1.0,5.0,3.0,88.91,2.0,23.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.059998,,,1.0
CHEMBL_CHEMBL185,FLUOROURACIL,['FLUOROURACIL'],O=c1[nH]cc(F)c(=O)[nH]1,CHEMBL185,success,130.08,-0.80,2.0,2.0,0.0,65.72,1.0,9.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060001,,,1.0
CHEMBL_CHEMBL1430,PENICILLAMINE,['PENICILLAMINE'],CC(C)(S)[C@@H](N)C(=O)O,CHEMBL1430,success,149.21,0.11,3.0,3.0,2.0,63.32,0.0,9.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060004,,,1.0
CHEMBL_CHEMBL1431,METFORMIN,['METFORMIN'],CN(C)C(=N)NC(=N)N,CHEMBL1431,success,129.17,-1.03,4.0,2.0,0.0,88.99,0.0,9.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060006,,,1.0
CHEMBL_CHEMBL376897,METHSCOPOLAMINE,['METHSCOPOLAMINE'],C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,CHEMBL376897,success,318.39,1.06,1.0,4.0,4.0,59.06,1.0,23.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060010,,,1.0
CHEMBL_CHEMBL1433,DOXYCYCLINE ANHYDROUS,['DOXYCYCLINE ANHYDROUS'],C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,CHEMBL1433,success,444.44,-0.35,6.0,9.0,2.0,181.62,1.0,32.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060013,,,1.0
CHEMBL_CHEMBL1434,MINOCYCLINE,['MINOCYCLINE'],CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CHEMBL1434,success,457.48,0.19,5.0,9.0,3.0,164.63,1.0,33.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060016,,,1.0
CHEMBL_CHEMBL1435,CEFAZOLIN,['CEFAZOLIN'],Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,CHEMBL1435,success,454.52,-0.64,2.0,12.0,7.0,156.09,2.0,29.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060019,,,1.0
CHEMBL_CHEMBL1436,CEFUROXIME,['CEFUROXIME'],CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,CHEMBL1436,success,424.39,-0.54,3.0,9.0,7.0,173.76,1.0,29.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060022,,,1.0
CHEMBL_CHEMBL222645,FLOXACILLIN,['FLOXACILLIN'],Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,CHEMBL222645,success,453.88,2.69,2.0,6.0,4.0,112.74,2.0,30.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060025,,,1.0
CHEMBL_CHEMBL186,CEFEPIME,['CEFEPIME'],CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,CHEMBL186,success,480.57,-1.28,2.0,10.0,7.0,150.04,1.0,32.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060028,,,1.0
CHEMBL_CHEMBL374975,FUSIDIC ACID,['FUSIDIC ACID'],CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,CHEMBL374975,success,516.72,5.67,3.0,5.0,5.0,104.06,0.0,37.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060031,,,1.0
CHEMBL_CHEMBL222559,TIPRANAVIR,['TIPRANAVIR'],CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,CHEMBL222559,success,602.68,7.33,2.0,6.0,11.0,105.59,3.0,42.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060035,,,1.0
CHEMBL_CHEMBL222863,OUABAIN,['OUABAIN'],C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,CHEMBL222863,success,584.66,-1.51,8.0,12.0,4.0,206.60,0.0,41.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060037,,,1.0
CHEMBL_CHEMBL1437,NOREPINEPHRINE,['NOREPINEPHRINE'],NC[C@H](O)c1ccc(O)c(O)c1,CHEMBL1437,success,169.18,0.09,4.0,4.0,2.0,86.71,1.0,12.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060040,,,1.0
CHEMBL_CHEMBL222813,ZANAMIVIR,['ZANAMIVIR'],CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,success,332.31,-3.58,8.0,7.0,6.0,198.22,0.0,23.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060043,,,1.0
CHEMBL_CHEMBL1439,TAZOBACTAM SODIUM,['TAZOBACTAM SODIUM'],C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+],CHEMBL1439,success,322.28,-1.52,1.0,7.0,3.0,122.46,1.0,20.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060046,,,1.0
CHEMBL_CHEMBL224325,CHLORQUINALDOL,['CHLORQUINALDOL'],Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,CHEMBL224325,success,228.08,3.56,1.0,2.0,0.0,33.12,2.0,14.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060049,,,1.0
CHEMBL_CHEMBL376140,TIGECYCLINE,['TIGECYCLINE'],CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CHEMBL376140,success,585.66,0.51,7.0,11.0,6.0,205.76,1.0,42.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060052,,,1.0
CHEMBL_CHEMBL376488,BEDAQUILINE,['BEDAQUILINE'],COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,CHEMBL376488,success,555.52,7.13,1.0,4.0,8.0,45.59,5.0,37.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060055,,,1.0
CHEMBL_CHEMBL1440,TETRACYCLINE,['TETRACYCLINE'],CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CHEMBL1440,success,444.44,-0.21,6.0,9.0,2.0,181.62,1.0,32.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:43.060058,,,1.0
